trial,reward,bucket_0,bucket_1,bucket_2,bucket_3,df,df_decay,df_min,er,er_decay,er_min,lr,lr_decay,lr_min
0,9.968,3,2,5,7,0.9945331161927207,0.9871294747397575,0.9474482964432297,0.06431883809070402,0.9755053776572276,0.016236653644187506,0.057119799620983756,0.9718099717711717,0.012669228812858997
1,15.016000000000002,7,7,3,5,0.9753102185699185,0.9507380036171778,0.9113286559712395,0.08052288254632693,0.9731400103002097,0.0878501176044504,0.4281295496931996,0.9173147636551303,0.0011842493490710204
2,22.072,4,4,3,7,0.9279417415660375,0.9888512976567086,0.8601949179819526,0.3270226432647455,0.9715535349850624,0.055149309970725806,0.08387023521740518,0.939308901495976,0.09069889411820477
3,20.816000000000003,7,6,6,3,0.9849474739176746,0.9987488225106288,0.9029338450865819,0.33097139093692907,0.9789547385065303,0.02897184094802127,0.4060248069020371,0.9183826460858958,0.011418323871595259
4,10.648,5,3,3,7,0.9951974514112238,0.9361653919788652,0.87917910888646,0.07056575974133218,0.9783738675719093,0.083146420193173,0.40249906875427116,0.9930746738745707,0.03390423825226862
5,9.984,6,3,6,6,0.945001866319728,0.9007984362109419,0.8750786758586915,0.061585595562037444,0.9428791253767392,0.057179488457960184,0.36056799527805394,0.9212653921265157,0.059915253606192466
6,11.735999999999999,2,2,5,2,0.9918855613258382,0.9647005255058371,0.8521724294326052,0.48055238394019134,0.9914939948147231,0.0830907639629999,0.476156442915028,0.9924045516936735,0.06767585076850871
7,9.983999999999998,5,3,6,5,0.9474400973381076,0.9437177620613816,0.8569933375004616,0.16595269687271327,0.9412758613476778,0.05601963111247216,0.47918549943666267,0.9981198186444458,0.0895462551124877
8,20.567999999999998,3,4,4,3,0.9714166511239354,0.9413050464955421,0.9210725270572004,0.3328083154836197,0.9130481347750788,0.06409807808722198,0.2438036243428126,0.9688154594611259,0.06776622791213788
9,22.552,5,2,2,3,0.969039927346826,0.9907370692697492,0.8864117996319856,0.4279965485775389,0.9987782429405695,0.06804545083359699,0.06113481673208632,0.946377589160173,0.019902928627322087
10,15.120000000000001,7,2,2,4,0.9903911909167437,0.9491643381429421,0.8921009610304507,0.23371637338210696,0.9683211862816135,0.04464228999380813,0.21656221306740098,0.9183866789371514,0.07064493744751242
11,20.352,4,7,4,6,0.9100158207672187,0.9815663194080044,0.8660046045604859,0.45963661697711666,0.9293659034492423,0.08755481384474148,0.06889291396415148,0.9503215139527055,0.06175714281236851
12,29.415999999999997,4,4,3,3,0.9122949972514299,0.9071548991033167,0.94332913013679,0.463129697319423,0.9284599585485069,0.056207180333743084,0.30135850881941395,0.9573444975305541,0.04837850177379891
13,22.784,5,7,5,4,0.9600902263324413,0.9749300510498821,0.88885781786355,0.34962798253313093,0.9132185252112899,0.07172244400810746,0.2476580192416003,0.9834871591426445,0.0889360060476394
14,16.808,5,7,3,7,0.9865082535065158,0.9074983989348152,0.9012943763374939,0.21728050328405674,0.9218452273196698,0.09523208839820019,0.13883076594219793,0.980249344322179,0.05339002241662822
15,21.304000000000002,5,5,5,5,0.9554684022734267,0.9773502892926744,0.8627810629320339,0.3500293757510024,0.9070573920180752,0.08370318723124902,0.11005618796801352,0.9099513053828915,0.054411985075027834
16,29.112000000000002,3,3,3,5,0.9209393120369488,0.9457865447832685,0.9196037918598173,0.4610257008314252,0.9450298642553407,0.026248056663884443,0.39040547982057516,0.9244173044683325,0.08176493350387398
17,20.168,4,5,2,6,0.9112322493807425,0.9780987154765041,0.8744676980273628,0.46337689517202374,0.9216335241338699,0.0049974129078499685,0.05289276947696183,0.9433043212797223,0.09645871177931173
18,15.824000000000002,4,5,7,3,0.9183498670201828,0.9983123037790463,0.8962100025884614,0.3500007168755859,0.9986158119232429,0.025790707807772744,0.1722898296090347,0.9029053847721117,0.09840758796004169
19,22.688,4,5,2,2,0.9256783311573303,0.972596121842502,0.8839823899542043,0.39819869395501195,0.997084706167988,0.0396147699434255,0.1638746064815269,0.9408699847881263,0.03831435287406248
20,25.847999999999995,6,5,7,3,0.9623625917397397,0.9688339690917367,0.8865845064939506,0.40182667035924474,0.9018660345593746,0.07063839442220621,0.1656788334263561,0.95215330369358,0.0309074274415682
21,16.695999999999998,6,5,7,3,0.9576767704588375,0.9699118738851581,0.8846973430153015,0.41133917980032253,0.9039682986181085,0.06825348608024838,0.16932381387077072,0.9467429445184752,0.035622971873939174
22,16.647999999999996,3,5,5,4,0.904845019997076,0.9216359825965572,0.9382435009208664,0.40420440042226347,0.9028716669349753,0.03949971368464347,0.3175914341364799,0.961658233314536,0.03835690690487769
23,21.336,3,5,7,2,0.9005303271399271,0.9213428927948526,0.9443695263364578,0.4160456052518662,0.9273211983642877,0.03871719252472516,0.3058866764081479,0.9578724084199066,0.039589334540914733
24,20.12,2,4,7,2,0.9238661629062587,0.9224363566743385,0.9382096681430558,0.41502683098900495,0.9558106134146266,0.03606720922619357,0.33093099056321823,0.9307562980492071,0.0416345862374535
25,20.2,2,4,4,2,0.9338394649414816,0.92257742899747,0.9405261206541728,0.42335222344221873,0.9586945581319888,0.039835593524585225,0.3421215649222409,0.9331393695039472,0.04196359093945047
26,24.503999999999998,2,4,4,2,0.9329507038112625,0.9202901385459359,0.9403047982229287,0.4064140969732646,0.9560675417747767,0.04166342638801856,0.31706618138536585,0.9328726488358052,0.041748805290393966
27,32.616,2,4,4,4,0.9011728409669588,0.9259974569207599,0.9429081470454513,0.395779735813156,0.9569929613227182,0.03591501672853269,0.3054875011726569,0.9582525974022331,0.0777102431683564
28,25.351999999999997,3,4,4,4,0.9357481001979517,0.9232241573559715,0.9391584265223005,0.49377398736171635,0.95751286871773,0.03594845451848522,0.32058696065868736,0.960053492653433,0.08012550914690308
29,23.448,3,3,3,5,0.9146580220869965,0.9334107361146025,0.9271728763102847,0.2959844950914952,0.9411397909416389,0.01704143950839104,0.2784489552086589,0.9720565775432743,0.07619422430487477
30,39.592,3,3,3,5,0.917214026970899,0.913269704746461,0.927495126069695,0.45042876294032846,0.9416132574092734,0.019895155078772778,0.281950150962468,0.9703242622534888,0.07772833434443915
31,18.808,3,3,3,5,0.9166725645283196,0.9137084373494587,0.92791570899801,0.29120101883030997,0.9398196435979683,0.01424508807975555,0.3729618332012574,0.97073407013897,0.07567378995342347
32,27.224,3,3,3,5,0.9139714616911607,0.9320891068984535,0.9285641166571447,0.29177165699781243,0.9395606300860623,0.01717011627456365,0.28249213774987936,0.9699717937766568,0.07839586430691768
33,20.072,3,3,3,4,0.9160829952677297,0.9311949567534152,0.9276190683592108,0.29314590215388303,0.9400690888131185,0.017111681789329286,0.2810644449761149,0.9689100941317172,0.07899723107514862
34,31.560000000000002,3,3,3,5,0.9183469513951197,0.9323742489916094,0.9274025712129039,0.44712673802986624,0.9414417267797316,0.015423733696187769,0.2769174007482015,0.9743438281929931,0.07936917058009402
35,22.176,3,3,3,5,0.9143636190527898,0.9112933901630162,0.9277346104522167,0.45145313213674476,0.9406128852085717,0.01503565542370464,0.2763802057388156,0.9722962284730213,0.07443247617886914
36,17.784,3,3,3,5,0.919195253033531,0.932142130810082,0.9274858522284475,0.28915630425134903,0.9401022236252362,0.013657410854615639,0.26884158984227474,0.9736776349134304,0.08328949564249538
37,31.48,2,3,3,4,0.9075943339309408,0.9333461372413474,0.9486353278438281,0.4532824784120925,0.9496710499665565,0.019459366730853488,0.27249147858048645,0.9781396811174581,0.08073949226514884
38,20.096,6,6,4,4,0.9088137270056155,0.9578505727668376,0.9479767992560303,0.453624179319183,0.950427614376354,0.022030436251708516,0.2876791859940482,0.9531193344705446,0.02602600900993632
39,14.144,6,6,3,4,0.9054910267270112,0.963743292515419,0.9126154746689177,0.38089430865473795,0.9505754594518673,0.02604151476586241,0.2159330716083202,0.9532638140727835,0.02842061625963716
40,18.568,6,6,4,3,0.9054244992276718,0.9597863115171164,0.9100423859572702,0.37915115351985185,0.9646705395756285,0.04913345632694402,0.20638856802529734,0.9517726454351019,0.029329275097773746
41,21.68,6,4,4,3,0.9054148026735042,0.9601357590767157,0.9102086610475363,0.45060932901546297,0.9482406640731509,0.028998956648957342,0.20202491466274558,0.9557480147955886,0.024939066385104194
42,27.056,2,4,4,6,0.9044252191872444,0.9498458036301377,0.9155261231068923,0.38037155716316223,0.9497262197229412,0.02629681336996398,0.41578012945958853,0.9571662766442743,0.05979830979701136
43,25.424,2,6,4,6,0.9064450097069262,0.9611924073017758,0.9487669700444353,0.4938593634966114,0.9488891180053239,0.025454487018739702,0.43429051183842704,0.9549421266120788,0.04881478302755337
44,20.936,2,6,4,6,0.9002962993040995,0.9003528952917934,0.9126313870069481,0.3807919423537983,0.9650782374395424,0.002394606593378446,0.22243831043404277,0.9839675236740042,0.04697398134958242
45,22.832,2,2,4,6,0.9392248014490967,0.9001531532974267,0.9490776955265816,0.4966535012912238,0.9334938383625753,0.048564878632965006,0.23240595714841777,0.9824278701067415,0.06043898568176101
46,24.816,2,2,4,6,0.9008406720087742,0.9388093605780036,0.9499794734655048,0.3717758222742248,0.9671226316026781,0.0014023014711533263,0.4495888500939964,0.9852496875866015,0.0863571172973079
47,27.32,2,2,2,6,0.9415753228581961,0.9393510713731127,0.9499929530113519,0.4985751866585061,0.9658500036916112,0.0031211513589306204,0.2303369550913265,0.9824804943052581,0.0868162670051629
48,48.336,2,2,2,6,0.9013099129647583,0.9003043263127343,0.9345305773191869,0.49650228764454973,0.9319958462869053,0.006393996083399394,0.2400771035956784,0.9818721592484746,0.0635254429495505
49,23.344,2,2,2,6,0.9011867063817208,0.9000939859539766,0.9488121880155136,0.49974989316387824,0.9319347257498938,0.03267805162258649,0.244050330286533,0.9804252171057587,0.06307208504074385
50,20.472,2,2,2,4,0.927322179682155,0.9007893791109856,0.9336244694793056,0.48958407102819107,0.9344854575649919,0.006155109525022611,0.25150901730825864,0.964473212555179,0.08591922507357551
51,11.64,2,2,2,4,0.9000405211461775,0.9058447879762295,0.933321929803558,0.1071547489835058,0.9343738306669669,0.005159617144538012,0.24887597599533365,0.9638661286590566,0.0877839003949685
52,26.504,4,2,2,4,0.9426268170871145,0.9379848818943295,0.9331043708746728,0.4347794045313887,0.9322509300920768,0.010603398777775348,0.2494084740554332,0.9638053366843297,0.08534369848980493
53,24.472,4,2,2,4,0.9276775865469546,0.9381671363769131,0.9339371744225387,0.4371989793671551,0.9342784617836811,0.006917545768826569,0.25697010747333154,0.9640609132111284,0.08614824428562816
54,19.936,4,3,2,4,0.927958230210691,0.9278840567667825,0.933222953253049,0.43632619285825114,0.9317591148997019,0.009544169930406965,0.25766959007416584,0.9632256031574664,0.09302244586698466
55,18.919999999999998,4,4,2,4,0.930327710865366,0.927782892712961,0.9346499198517044,0.43333423199503185,0.985948793784359,0.0604794647468529,0.3465288274301576,0.9759005206150566,0.06943601464918829
56,19.176,4,4,3,4,0.9293302645437307,0.9147277882110648,0.9337725550789562,0.4323144274917019,0.9788528816166655,0.03211987343932814,0.3465497492457387,0.966277078676073,0.06621125851600435
57,53.056,4,4,3,4,0.9271368580628812,0.9163159106462634,0.9348012517941934,0.4717771054927478,0.9825830758886458,0.008938412901521127,0.3685667218711106,0.9905335788516415,0.09343006935582801
58,19.424,4,3,3,5,0.9218619863424128,0.9153782407676838,0.9206931675048647,0.4379632535317946,0.9245720996491131,0.00960878544579859,0.382062629042436,0.9918220586223485,0.09414472494786194
59,28.672000000000004,4,3,3,7,0.9223442144338347,0.9159123645884237,0.933301630366807,0.43465125883637595,0.9223305963480466,0.008967646067795052,0.3482067923223698,0.988963185900236,0.06959212664871216
60,23.400000000000002,4,3,3,7,0.9108064274009893,0.9144516194842943,0.9437099364045034,0.4729224365330574,0.9258014972230667,0.06287338134225726,0.3532831170721631,0.988865591493596,0.07006457993818696
61,19.392000000000003,4,3,3,7,0.912220666990384,0.9158047729762144,0.9438356391536955,0.46948632206402696,0.9211163693976704,0.06174660236723022,0.2983745688273944,0.9758276387900222,0.07094700230025541
62,19.624000000000002,3,4,3,7,0.9113962424433513,0.913806346202461,0.9449593030802018,0.4733680122920337,0.9240198308758115,0.06082869680271469,0.3002686822756954,0.989818859556211,0.06931204247710242
63,22.096000000000004,3,3,3,7,0.9113809239297354,0.9134130064494224,0.9209670205520603,0.46403854578734627,0.9189241309333159,0.0214654029693679,0.2999318231943767,0.9770522542809329,0.06567618944307461
64,28.392000000000003,3,3,3,7,0.9223838647708527,0.9052480517006861,0.943556407382502,0.47587898282239466,0.9240963378513624,0.021773484802105225,0.3676711683106334,0.9767728365561917,0.07191580116453064
65,32.456,3,4,3,7,0.9084552545527337,0.907023638855427,0.9428451898771402,0.4748969591537663,0.9151311328164645,0.05422119320572909,0.2986974826090311,0.9757115580764452,0.07188985175140361
66,24.880000000000003,3,3,6,5,0.9110086032917922,0.9063791865403213,0.9425779664267432,0.4676019984346181,0.9157823567884924,0.05284699154389998,0.3095227035364884,0.9909460345857997,0.05553433778321827
67,42.184000000000005,3,4,3,5,0.9083209729434838,0.9059604612999919,0.9217641464037135,0.47564322154738603,0.9435565032953264,0.022035991533864402,0.30135843557373004,0.9775662328346696,0.055771037665519184
68,18.736,3,4,6,5,0.9203443230425855,0.9448610478476478,0.9225297449600276,0.4756685882215385,0.9451402024061991,0.022218917547160877,0.3010049984642543,0.997270890634632,0.07282157727184689
69,26.336000000000002,3,3,3,5,0.9192751405205047,0.9068202006038126,0.9230726024864858,0.4734999305888668,0.9443127787977448,0.021722806719685725,0.4886920208499987,0.9772662094154104,0.08051249078561419
70,27.160000000000004,3,4,6,5,0.9195717432801515,0.945760393045165,0.9233906330979823,0.4796905562406333,0.9437029024713754,0.02105754785150528,0.19839573251655762,0.9992493735774433,0.08157074300018839
71,20.84,5,4,5,3,0.907492783486564,0.9060964401550908,0.9424352451602585,0.481119881824535,0.9443732925634992,0.05364848664776189,0.18753135184300274,0.9788169952779762,0.09989813833845804
72,15.408000000000001,5,4,5,3,0.9194972458494198,0.9088000196821013,0.9375777798105407,0.21276412385758192,0.9871780027588395,0.04544508455217703,0.3323778732197261,0.9983204696104158,0.05662875604765815
73,22.16,5,4,5,3,0.9195902055792695,0.9099571658439239,0.9233998543173055,0.24862520843219374,0.9858379369981413,0.0451445938552365,0.3277712432815749,0.9993792965466046,0.09139580567521641
74,26.584000000000003,2,4,5,5,0.9075607314453201,0.9101999113276148,0.9239278353797152,0.4808029117678113,0.9448814279314763,0.01955494121584866,0.18813380945366603,0.9789908696356375,0.0907050296846865
75,19.296,2,4,5,5,0.9079613177952587,0.9095536278527914,0.937227622240936,0.4504489319033146,0.974173794738551,0.012171796782998415,0.33121510922734176,0.9947170551676817,0.09134323221641273
76,13.479999999999999,2,4,5,5,0.9499516094704794,0.918924569271877,0.9383851496304908,0.1791780691925387,0.985629718507888,0.012454977033965484,0.19011721034603643,0.9874109169976292,0.09153722195272417
77,24.312,2,4,5,5,0.9792148099276667,0.9101801424616763,0.9373878096490251,0.45473771689266135,0.9742784848712098,0.0447438826406556,0.18358635865418463,0.9946959985914909,0.09900837497263518
78,22.160000000000004,2,4,3,4,0.9029482737246418,0.9274606839034558,0.9055914761014993,0.45507074513032253,0.908315911678505,0.05750907494817597,0.26815876974658537,0.9590875184452484,0.00620607046196462
